loan_id,borrower_name,payment_date,scheduled_payment_amount,actual_payment_amount,payment_type,payment_status,bank_reference_id,pool_id
LN-000649,Jennifer Miranda,2025-08-08,39563.98,39563.98,Escrow,Posted,ECBE1EA3950B,POOL-B
LN-000650,Alexis Harris,2025-07-13,25172.89,25172.89,Interest,Posted,E6AD0EBB3827,POOL-D
LN-000651,Andrew Harper,2025-08-01,4802.55,4802.55,Principal,Posted,68243CCEFE63,POOL-A
LN-000652,Amber Yang,2025-09-02,27086.77,27086.77,Escrow,Posted,38C085367705,POOL-F
LN-000653,David Robinson,2025-08-25,29548.64,29548.64,Principal,Posted,E59D266F8149,POOL-F
LN-000654,Amy Gordon,2025-12-16,37399.25,37399.25,Fee,Posted,CE92A4B1731C,POOL-C
LN-000655,Robert Dennis,2025-04-25,21867.15,21867.15,Escrow,Posted,10DCE9216D33,POOL-D
LN-000656,Kyle Chambers,2025-05-24,6815.22,6815.22,Principal,Posted,81522EA4DB4B,POOL-F
LN-000657,Eric Thomas,2025-05-31,14546.91,14546.91,Escrow,Posted,13895AFA3E7E,POOL-D
LN-000658,Connie Turner,2025-07-11,18472.57,20483.87,Principal,Pending,94E21F7908D5,POOL-C
LN-000659,Travis Hobbs,2025-09-27,32472.9,32472.9,Interest,Pending,70BEE525A7F9,POOL-F
LN-000660,Lori Simmons,2026-03-05,28753.53,28753.53,Principal,Posted,8039F4A357C4,POOL-A
LN-000661,William David Dds,2025-06-01,18126.79,18126.79,Escrow,Posted,9607968BD952,POOL-B
LN-000662,Emma Butler,2026-03-11,49332.5,63565.36,Fee,Reversed,3332325ADFFC,POOL-D
LN-000663,James Webster,2025-07-02,30485.85,30485.85,Fee,Posted,6BB08563A996,POOL-F
LN-000664,Samuel Turner,2025-04-16,12242.73,12242.73,Fee,Posted,CF66701BF494,POOL-F
LN-000665,Renee Melendez,2025-10-13,5538.23,6621.59,Principal,Posted,4DFDB7361867,POOL-C
LN-000666,Tracy Grant,2025-10-09,8066.53,8066.53,Interest,Posted,DF5366C151EE,POOL-A
LN-000667,David Harris,2025-08-31,12674.91,12674.91,Principal,Posted,0B1399CE4A28,POOL-E
LN-000668,Tammy Boone,2025-12-17,8453.73,0.0,Fee,Reversed,11719678402F,POOL-F
LN-000669,Nathaniel Lee,2025-11-08,9735.07,9735.07,Escrow,Posted,62A36C5A93D8,POOL-B
LN-000670,Michael Morrison,2025-10-13,14612.21,14612.21,Fee,Posted,F4BBD9C7685E,POOL-C
LN-000671,Chelsea Gill,2025-04-15,9081.99,9081.99,Escrow,Reversed,5C4B4DD9210B,POOL-F
LN-000672,Kristin Mendoza,2025-06-28,44889.89,44889.89,Interest,Posted,32C993CAA715,POOL-F
LN-000673,Felicia Krueger,2025-10-16,4471.57,4471.57,Escrow,Posted,4D387DBF13B4,POOL-C
LN-000674,Timothy Hayden,2025-09-30,26463.31,26463.31,Principal,Posted,9E6233E5185C,POOL-C
LN-000675,Zachary Mendoza,2026-01-08,20814.64,12857.18,Principal,Posted,9A700426365D,POOL-D
LN-000676,Larry Harris,2026-03-06,49127.74,49127.74,Principal,Posted,4D7CA4867105,POOL-F
LN-000677,Kristen Rowe,2025-03-25,6045.93,6045.93,Escrow,Posted,1CF262401143,POOL-E
LN-000678,Joseph Howard,2026-01-03,20193.85,20193.85,Principal,Posted,2E240DB32BB8,POOL-B
LN-000679,Jose Crawford,2025-09-25,48488.79,48488.79,Principal,Posted,ECD72D674D6D,POOL-A
LN-000680,William Harrison,2025-11-14,43342.6,43342.6,Principal,Posted,613256B62677,POOL-A
LN-000681,Suzanne Wood,2025-03-18,40945.07,50083.69,Interest,Posted,84D3E84E14B6,POOL-E
LN-000682,Justin Walker,2025-09-11,13266.19,13266.19,Escrow,Posted,1EBDC385DA27,POOL-C
LN-000683,Dean Donovan,2025-08-14,8958.94,8958.94,Escrow,Posted,BAA89E4A4761,POOL-C
LN-000684,Jennifer Hernandez,2025-09-30,33597.84,33597.84,Fee,Posted,28E30D2F0D7A,POOL-C
LN-000685,James Whitaker,2025-10-15,46504.11,46504.11,Escrow,Reversed,93543A5344E7,POOL-F
LN-000686,Mr. Michael Scott Phd,2025-12-15,28059.76,28059.76,Interest,Posted,DD040CFB460B,POOL-C
LN-000687,Maria Henry,2025-12-19,28794.83,28794.83,Escrow,Posted,41A699D54047,POOL-C
LN-000688,Robert Jackson,2026-01-17,14358.97,14358.97,Interest,Pending,05022237C714,POOL-F
LN-000689,Katherine Stark,2025-07-05,38589.9,38589.9,Interest,Posted,282478B1B73F,POOL-F
LN-000690,Maria Brown,2025-11-19,9758.67,9758.67,Escrow,Posted,A521F9181C73,POOL-E
LN-000691,Ryan Landry,2025-07-05,16522.12,16522.12,Fee,Pending,871D603E6997,POOL-D
LN-000692,Pamela Gutierrez,2025-08-01,21559.1,21559.1,Principal,Pending,A397A135943C,POOL-F
LN-000693,Crystal Mann,2025-10-24,25626.71,25626.71,Principal,Posted,2C4D3A7D8354,POOL-B
LN-000694,Jonathan Brooks,2025-11-18,12499.28,12499.28,Escrow,Posted,F592CD56F28D,POOL-C
LN-000695,Mary Jensen,2025-03-29,6184.42,6184.42,Escrow,Posted,10BE6A9A613A,POOL-D
LN-000696,Mr. Aaron Arnold,2025-09-30,30725.69,30725.69,Interest,Pending,73E3688053FE,POOL-A
LN-000697,Joseph Hill,2025-09-03,14787.21,14787.21,Escrow,Posted,1381914E91B0,POOL-E
LN-000698,Alicia Li,2026-02-20,29271.29,29271.29,Interest,Posted,DC9E5FC47422,POOL-D
LN-000699,Renee Browning,2026-02-25,8140.95,6516.86,Fee,Pending,ACA181909D1D,POOL-F
LN-000700,Brent Hernandez,2025-10-08,24316.44,24316.44,Escrow,Posted,B3ABD23DFDFC,POOL-C
LN-000701,Joseph Ochoa,2025-06-07,26863.18,26863.18,Principal,Pending,3EFA89C200C4,POOL-C
LN-000702,James Watson,2025-11-09,3065.27,3065.27,Principal,Posted,6411834A3056,POOL-C
LN-000703,Karl Branch,2025-05-19,17161.91,17161.91,Escrow,Posted,D57A6D1E6D2E,POOL-D
LN-000704,Michael Abbott,2026-01-27,7153.53,7153.53,Interest,Posted,678380BFE9E6,POOL-C
LN-000705,Shannon Malone,2025-12-13,3637.06,3637.06,Principal,Pending,BBA0F7608CDB,POOL-F
LN-000706,James Tran,2025-03-28,49503.03,49503.03,Interest,Posted,8884D140EB9A,POOL-D
LN-000707,Adam Jackson,2025-10-02,16456.52,16456.52,Escrow,Posted,CB241BF7FFF0,POOL-C
LN-000708,Mr. Richard Knight Phd,2026-01-12,40588.79,40588.79,Escrow,Posted,BAF272A5D2A9,POOL-A
LN-000709,Joseph Williams,2025-12-28,13104.71,13104.71,Principal,Posted,2AB0215DE929,POOL-A
LN-000710,Sean Clay,2026-02-17,34234.38,34234.38,Escrow,Reversed,F1DFBFFC0B83,POOL-B
LN-000711,Anthony Jones,2025-03-28,38131.28,38131.28,Fee,Posted,A75BAD6A189D,POOL-C
LN-000712,Stephanie Elliott,2025-04-26,29984.12,29984.12,Fee,Posted,918EF24C5DAE,POOL-C
LN-000713,Timothy Edwards,2026-02-07,23843.02,23843.02,Principal,Reversed,4F312AA5F00C,POOL-D
LN-000714,Laurie Goodwin,2025-10-20,20886.13,20886.13,Fee,Posted,05131DC13F7E,POOL-D
LN-000715,Jennifer Jones,2025-05-23,17768.98,17768.98,Interest,Posted,FDD5EAC41FA6,POOL-C
LN-000716,David Davenport,2025-11-06,46511.69,52404.79,Principal,Posted,9A1F61EC0C65,POOL-B
LN-000717,Steven Rivera,2025-06-16,41615.66,41615.66,Principal,Pending,8642E35E7CAB,POOL-C
LN-000718,Brenda Hinton,2025-04-09,48268.83,58961.26,Interest,Posted,A72A7A21DA26,POOL-F
LN-000719,Kathryn Mccann,2025-07-26,6652.71,6652.71,Fee,Posted,24FB327CF0C3,POOL-D
LN-000720,Jeffrey Roberson,2025-09-25,36677.94,36677.94,Fee,Posted,F0B612B5A0B3,POOL-C
LN-000721,Randy Friedman,2025-08-29,46947.85,46947.85,Fee,Posted,72410747D7DA,POOL-D
LN-000722,Raymond Johnson,2025-07-01,9471.04,9471.04,Principal,Posted,2E0A9A27E14B,POOL-C
LN-000723,Willie Henry,2025-11-02,3791.57,0.0,Principal,Posted,64952745AD11,POOL-E
LN-000724,Todd Reynolds,2025-08-29,37185.47,45461.94,Fee,Posted,5E1630E0DEF1,POOL-D
LN-000725,Mary Miller,2025-09-03,28936.42,28936.42,Escrow,Posted,CE1B3B26C3E5,POOL-B
LN-000726,Rebecca Marquez,2025-09-25,42170.52,42170.52,Fee,Posted,16F2629ADCCA,POOL-E
LN-000727,Christian Dawson,2025-08-04,7418.73,7418.73,Interest,Posted,719B8B1EBC9F,POOL-F
LN-000728,Nancy Stewart,2025-10-16,39865.73,39865.73,Principal,Pending,9EAF069D6CE0,POOL-C
LN-000729,Aaron Parker,2025-07-22,10480.55,0.0,Interest,Pending,755677D0A263,POOL-F
LN-000730,Derrick Anderson,2025-04-25,8600.97,8600.97,Interest,Posted,2625EFCF9BF6,POOL-D
LN-000731,Jerry Peters,2025-11-10,8631.16,8631.16,Principal,Posted,AA64059105E6,POOL-E
LN-000732,Alexander Gomez,2025-03-24,40821.45,40821.45,Escrow,Posted,B07F761AD9C6,POOL-F
LN-000733,Kyle Nguyen,2025-12-16,33427.26,33427.26,Fee,Reversed,5F3215BF5F1E,POOL-B
LN-000734,Edgar Hughes,2025-04-10,26391.74,30136.36,Interest,Pending,37CFD2BEEB6F,POOL-D
LN-000735,Steven Stein,2025-09-10,18262.11,18262.11,Principal,Pending,66A4020DDB11,POOL-E
LN-000736,Laura Jackson,2025-07-07,43921.43,43921.43,Interest,Posted,7AF7908E86CD,POOL-F
LN-000737,Charles Turner,2026-02-10,19926.03,19926.03,Fee,Posted,B15C6033F33D,POOL-E
LN-000738,Arthur Hamilton Md,2025-04-19,40921.67,40921.67,Escrow,Posted,CF5E5ED262E8,POOL-E
LN-000739,Mr. David Wright,2026-02-11,22237.18,22237.18,Escrow,Posted,AD1611B4CDFC,POOL-F
LN-000740,Linda Gonzalez,2025-04-04,19158.75,19158.75,Escrow,Posted,0CDA868E0A27,POOL-A
LN-000741,Eric Rush,2025-03-30,23402.65,23402.65,Principal,Reversed,8464730D1915,POOL-C
LN-000742,Manuel Brock,2025-07-19,15418.2,15418.2,Principal,Posted,9813D14AF4DF,POOL-D
LN-000743,George Ochoa,2025-06-25,37506.66,37506.66,Escrow,Posted,49C565F2E95F,POOL-D
LN-000744,Valerie Taylor,2025-03-25,25384.66,25384.66,Fee,Posted,94675360B9D9,POOL-D
LN-000745,Travis Harris,2026-01-27,11994.53,11994.53,Fee,Reversed,A137435A2ED8,POOL-E
LN-000746,Vincent Novak,2025-06-01,45028.94,45028.94,Principal,Posted,34381D625446,POOL-F
LN-000747,Michael Henry,2025-07-15,19502.62,19502.62,Escrow,Posted,28ECA88279A0,POOL-C
LN-000748,Dana Bennett,2025-05-18,27405.87,27405.87,Fee,Reversed,E86F79E5A628,POOL-B
LN-000749,Jenna Wilson,2025-11-12,45370.37,45370.37,Fee,Posted,EE523296FC30,POOL-D
LN-000750,Leslie Gardner,2026-02-20,31399.78,31399.78,Fee,Posted,DC9C775FABCA,POOL-F
LN-000751,Krista Benton,2025-05-12,6286.45,6286.45,Principal,Posted,CE3AA4DEE05A,POOL-C
LN-000752,Michael Gonzales,2025-12-28,47021.69,28147.55,Escrow,Posted,4C7D4E2302D9,POOL-C
LN-000753,Michael Fuentes,2025-07-04,31571.55,31571.55,Interest,Pending,44D36974E0BC,POOL-A
LN-000754,Jennifer Porter,2025-11-08,17077.83,12213.75,Escrow,Pending,E3A4AC0AF425,POOL-F
LN-000755,Dana Hopkins,2026-03-08,7393.97,7393.97,Escrow,Posted,5185E9E61C28,POOL-D
LN-000756,Rachel Jones,2025-07-24,39804.25,49235.22,Principal,Posted,E76C3F60A726,POOL-E
LN-000757,Karen Morales Dds,2025-09-19,31193.6,31193.6,Fee,Posted,56D0193C59C5,POOL-C
LN-000758,Melissa Stephens,2025-06-08,26906.32,26906.32,Fee,Posted,D1CB7D859FE7,POOL-C
LN-000759,Heather Woodard,2026-01-19,44747.68,44747.68,Principal,Posted,1F9BF2451DE1,POOL-B
LN-000760,Margaret Miller,2026-01-19,39535.56,39535.56,Principal,Posted,3B2332CF5534,POOL-A
LN-000761,Mary Kelly,2025-05-12,8007.91,8007.91,Principal,Posted,9A7FC50B1DA0,POOL-C
LN-000762,Amanda Terrell,2025-06-06,15930.24,15930.24,Principal,Pending,012F2FFA79BA,POOL-C
LN-000763,Jennifer Goodwin,2025-08-21,12800.21,12800.21,Principal,Posted,24D3E51D7831,POOL-E
LN-000764,Jessica Smith,2025-05-09,37325.34,0.0,Interest,Posted,BC575CCF3087,POOL-E
LN-000765,Jorge Stone,2026-01-05,2159.86,2159.86,Escrow,Posted,B9C81C1F4AA6,POOL-B
LN-000766,Laura Griffin,2025-03-28,28709.54,33129.7,Escrow,Pending,6316625DFE46,POOL-F
LN-000767,Raymond Chapman,2025-08-21,38241.7,38241.7,Escrow,Posted,61EBFB2E6E69,POOL-B
LN-000768,Haley Johnson,2026-01-03,43899.9,43899.9,Fee,Posted,E7137BBBD920,POOL-B
LN-000769,Jason Nixon,2026-02-24,17433.05,17433.05,Interest,Posted,E9C17D699D67,POOL-E
LN-000770,Todd Thomas,2025-09-23,41152.24,41152.24,Escrow,Posted,20C6F0F76D17,POOL-F
LN-000771,Jesse Clark,2025-10-04,5976.27,5976.27,Fee,Posted,B5AE9129530D,POOL-E
LN-000772,Mr. Jeffrey Horton,2025-06-24,42399.39,0.0,Interest,Pending,157BCB120F24,POOL-A
LN-000773,Eric Patrick,2025-04-22,6810.69,6810.69,Interest,Reversed,6E8467E07BA9,POOL-D
LN-000774,Samuel Wong,2026-01-12,20165.72,20165.72,Fee,Pending,582C3ADD4587,POOL-D
LN-000775,Carly Riggs,2026-03-03,39966.12,39966.12,Interest,Posted,2033B93F06AF,POOL-A
LN-000776,Christopher Moore,2026-01-30,7920.91,7920.91,Fee,Posted,D3CCC96A2409,POOL-D
LN-000777,Tina Hall,2025-07-17,11847.94,11847.94,Escrow,Posted,EE3B47B1AF7A,POOL-F
LN-000778,Cody Davidson,2025-05-06,36251.5,36251.5,Fee,Reversed,BAB5C8F0B9AC,POOL-E
LN-000779,Allen Mendez,2026-03-06,36141.81,36141.81,Interest,Posted,BB17C9B65DEA,POOL-D
LN-000780,Kevin Price,2025-08-16,32236.81,32236.81,Escrow,Posted,38877A484677,POOL-F
LN-000781,Christine Goodwin,2026-02-28,34850.45,34850.45,Escrow,Posted,F19F76744B21,POOL-E
LN-000782,Amy Garcia,2026-01-16,27364.86,27364.86,Principal,Posted,135C9CB00F6C,POOL-F
LN-000783,Chelsea Nguyen,2025-05-15,12964.05,12964.05,Principal,Posted,9AF94BE6AD5A,POOL-A
LN-000784,Dennis Huffman,2025-12-29,17611.95,17611.95,Interest,Posted,DBC9E51B358D,POOL-B
LN-000785,Margaret Harper,2025-04-05,9489.09,9489.09,Fee,Posted,E3E8531689DD,POOL-A
LN-000786,Laurie Bailey,2025-09-08,45468.3,56350.58,Fee,Pending,3C0E7F5A25AB,POOL-D
LN-000787,Lisa Cervantes,2025-12-12,29377.89,29377.89,Interest,Posted,D9C29F973C7A,POOL-E
LN-000788,Elizabeth Mendez,2025-10-20,20342.15,20342.15,Escrow,Posted,C11D054BD08B,POOL-F
LN-000789,Cesar Wilson,2026-02-16,23369.29,23369.29,Interest,Posted,07282E2785DD,POOL-D
LN-000790,Clayton Steele,2025-09-20,47390.53,47390.53,Interest,Posted,97B95DA4182F,POOL-D
LN-000791,Jennifer Taylor,2025-04-19,8090.89,0.0,Escrow,Pending,B5F7CA14DC7C,POOL-B
LN-000792,Cody Reid,2025-11-29,29518.38,29518.38,Fee,Posted,83AA2AF95697,POOL-D
LN-000793,Maria Cooke,2026-02-09,25541.49,25541.49,Interest,Posted,E81961FAB8EA,POOL-B
LN-000794,Katherine Taylor,2025-09-05,30766.98,30766.98,Fee,Posted,D9E65F0B7D2E,POOL-E
LN-000795,Jerry Brown,2025-03-21,1396.45,1396.45,Interest,Reversed,A3C7395CC18B,POOL-E
LN-000796,Adam Taylor,2025-10-16,43670.13,36806.79,Escrow,Posted,75FAB7776060,POOL-F
LN-000797,Tracey Wagner,2025-11-20,46639.85,46639.85,Escrow,Posted,F58EB6AEDB84,POOL-B
LN-000798,Michael Perry Phd,2025-05-08,28474.09,0.0,Principal,Posted,8743E8910AAC,POOL-A
LN-000799,Bradley Johnson Dds,2025-10-22,34984.22,34984.22,Escrow,Posted,F0606E0DF5E2,POOL-E
LN-000800,Donald Medina,2025-09-16,46163.72,46163.72,Principal,Posted,D3FD89445F88,POOL-F
LN-000801,Jim Newton,2026-02-03,35508.31,35508.31,Interest,Pending,90C3A2CC7E87,POOL-A
LN-000802,Krista Wilson,2025-11-05,8050.68,8050.68,Fee,Posted,B0775ADF3535,POOL-E
LN-000803,Reginald Morrow,2026-03-12,29026.27,29026.27,Escrow,Reversed,7F4B7015893F,POOL-E
LN-000804,Rodney Williams,2025-06-01,30532.39,30532.39,Escrow,Posted,8079AF87C918,POOL-F
LN-000805,Kimberly Fritz,2025-10-23,21494.47,21494.47,Escrow,Posted,651EE063AD86,POOL-F
LN-000806,Ronald Potter,2025-06-13,36953.99,36953.99,Interest,Posted,21DA5AC4A56D,POOL-C
LN-000807,Zachary Cole,2025-12-07,46751.17,46751.17,Principal,Pending,5DABD665D6FE,POOL-D
LN-000808,Robert Gonzales,2026-02-11,46315.64,0.0,Interest,Posted,66DD33219A6B,POOL-D
LN-000809,Patricia Young Phd,2025-07-31,22816.55,22816.55,Fee,Pending,24E6DB58765B,POOL-A
LN-000810,Heather Page,2026-01-24,6105.28,6105.28,Interest,Reversed,25B919F7932D,POOL-D
LN-000811,Carol Taylor,2025-12-15,49249.64,49249.64,Fee,Reversed,EB0A0D46D6C9,POOL-A
LN-000812,Daniel Brown,2025-11-17,42025.46,42025.46,Escrow,Posted,C13862980318,POOL-E
LN-000813,Douglas Ryan,2025-11-08,6670.8,6670.8,Fee,Posted,B5FCF1949C4D,POOL-C
LN-000814,Michael Roberts,2025-10-24,46081.67,33938.14,Fee,Pending,6CF745F612B6,POOL-C
LN-000815,Scott Duke,2026-01-12,43559.87,43559.87,Principal,Posted,1D5B295DBC2C,POOL-E
LN-000816,Anna Estes,2025-07-30,26182.48,26182.48,Fee,Posted,41FB64A92E63,POOL-F
LN-000817,Tamara Riddle,2025-08-27,29768.13,29768.13,Fee,Posted,85AECCE501D2,POOL-B
LN-000818,Beth Cline,2025-07-18,20250.63,0.0,Interest,Posted,C5E83DAF8A09,POOL-B
LN-000819,Michael Poole,2025-04-28,3210.7,3210.7,Escrow,Posted,EDD3680E8B9F,POOL-D
LN-000820,Megan Burns,2025-08-04,17092.26,17092.26,Interest,Posted,0371D458668C,POOL-F
LN-000821,Debra Perry,2025-10-31,40241.25,40241.25,Interest,Posted,8BEA586D5A0B,POOL-A
LN-000822,Mark Beard,2025-07-17,729.29,0.0,Escrow,Posted,7CB6E376C703,POOL-C
LN-000823,Jose Ramirez,2025-11-07,17008.21,17008.21,Escrow,Posted,D8FCF8209B13,POOL-D
LN-000824,Jackie Clements,2025-12-31,20209.35,20209.35,Fee,Posted,1BF13971D2DC,POOL-E
LN-000825,Aaron Schroeder,2026-01-21,27101.08,27101.08,Fee,Posted,77DEF287FC11,POOL-F
LN-000826,Monica Ellis,2026-02-20,46032.85,46032.85,Principal,Posted,E2443743AB2F,POOL-C
LN-000827,Heather Brown,2025-09-25,17644.13,17644.13,Interest,Posted,1F61CC7213A9,POOL-A
LN-000828,Claudia Jordan,2025-09-03,17674.18,17674.18,Escrow,Posted,0B1AFBEFEFEA,POOL-A
LN-000829,Derrick Clayton,2025-03-29,37006.31,39579.2,Fee,Posted,F14F72581DBA,POOL-B
LN-000830,Kenneth Knight,2025-11-23,22884.79,22884.79,Escrow,Posted,1F868AEFAEA5,POOL-D
LN-000831,Mr. Michael Williams,2025-08-28,11617.94,11617.94,Fee,Posted,C07D3B56BE48,POOL-E
LN-000832,Richard Stevens,2025-06-16,22895.76,22895.76,Principal,Pending,A954AED41098,POOL-C
LN-000833,Scott Alexander,2025-11-19,7472.42,7472.42,Principal,Posted,E46059A67362,POOL-A
LN-000834,Tyler Harris,2025-07-01,9231.16,9231.16,Escrow,Posted,FFA555183902,POOL-C
LN-000835,Bonnie Santos,2025-09-12,25169.2,25169.2,Principal,Posted,5C29796456FD,POOL-E
LN-000836,Timothy Hill,2025-07-25,21236.81,21236.81,Escrow,Posted,30587FD1C3A2,POOL-C
LN-000837,Danielle Watson,2025-09-05,45784.87,45784.87,Fee,Posted,7D00A6138280,POOL-D
LN-000838,Carol Sanders,2025-08-05,18438.5,18438.5,Interest,Posted,6138FEAFD117,POOL-B
LN-000839,Michael Young,2026-01-14,29239.12,29239.12,Principal,Posted,B7E8393F0575,POOL-C
LN-000840,Michele Smith,2026-03-09,31797.08,31797.08,Fee,Posted,1D9D80320676,POOL-F
LN-000841,Casey Perez,2025-08-03,1148.18,1148.18,Interest,Posted,2C8A993107CD,POOL-B
LN-000842,Alexandra Dominguez,2025-12-24,33345.1,33345.1,Interest,Reversed,14F7FD6FF10F,POOL-E
LN-000843,Virginia Henderson,2025-03-20,9312.78,9312.78,Interest,Posted,D0FBE72DBB74,POOL-B
LN-000844,Benjamin Reyes,2025-12-04,48072.98,48072.98,Fee,Posted,E27687672C13,POOL-C
LN-000845,Ashley Edwards,2025-06-20,7858.81,7858.81,Fee,Posted,3FCB9AA9E060,POOL-C
LN-000846,Breanna Ayala,2025-04-27,21023.89,21023.89,Escrow,Posted,B513E9A2FAA8,POOL-F
LN-000847,Brandi Haney,2025-07-16,4724.81,4724.81,Interest,Pending,9F0960D4448F,POOL-A
LN-000848,Joseph Smith,2025-10-09,49845.28,49845.28,Interest,Posted,117C9FACCC60,POOL-F
LN-000849,Jessica Bowen,2025-11-20,25358.65,25358.65,Interest,Posted,525A886FA6B0,POOL-C
LN-000850,Brittany Jenkins,2025-12-24,29971.56,29971.56,Escrow,Pending,CC3C659DA121,POOL-B
LN-000851,Shannon Miller,2025-07-16,3820.29,3820.29,Interest,Posted,47DA980F2381,POOL-F
LN-000852,Paul Lawrence,2026-03-03,37623.04,37623.04,Fee,Posted,823B1E4D9C69,POOL-F
LN-000853,Victor Edwards,2025-11-13,10890.33,10890.33,Interest,Reversed,B3C280878B85,POOL-A
LN-000854,Donald Miller,2026-02-08,44953.69,44953.69,Principal,Posted,C59E6FEE7493,POOL-C
LN-000855,Lindsay Lawson,2026-03-14,10654.41,10654.41,Fee,Posted,726F1D0C9798,POOL-C
LN-000856,Melissa Abbott,2025-11-21,9939.04,0.0,Escrow,Posted,DB2076ECFCE3,POOL-E
LN-000857,Elizabeth Holmes,2025-10-30,2309.21,2309.21,Interest,Posted,F3C72931F8BC,POOL-A
LN-000858,Nicole Phillips,2025-03-23,23867.31,23867.31,Principal,Posted,1E580771FF4D,POOL-E
LN-000859,Steven Blevins,2025-05-01,28459.64,28459.64,Escrow,Pending,BEEFB8CCE138,POOL-E
LN-000860,Brian Porter Md,2025-08-12,3752.58,3752.58,Escrow,Posted,E5F5C7601152,POOL-E
LN-000861,Vanessa Hatfield,2025-07-06,38888.62,38888.62,Fee,Posted,2A3251D1CC36,POOL-D
LN-000862,Bonnie Valencia,2025-10-08,22937.8,22937.8,Escrow,Reversed,911A530E53E1,POOL-E
LN-000863,Holly Vega,2026-03-04,26457.32,26457.32,Escrow,Posted,7F5F0EE47562,POOL-F
LN-000864,Tiffany Townsend,2025-07-17,22317.76,22317.76,Escrow,Posted,FAE93D87B50B,POOL-B
LN-000865,Austin Baker,2025-08-18,20337.77,20337.77,Escrow,Posted,6137F9082619,POOL-F
LN-000866,Antonio Mccormick,2026-02-17,28202.2,28202.2,Interest,Reversed,6CBD8D0FD5B8,POOL-F
LN-000867,Lori Mason,2026-01-06,8184.39,8184.39,Interest,Pending,C5D3F99F781F,POOL-C
LN-000868,Michael Miller,2025-09-19,9505.44,9505.44,Interest,Posted,97C3366417AB,POOL-D
LN-000869,Lisa Ramirez,2025-11-12,43158.39,43158.39,Interest,Posted,3D921F18649C,POOL-E
LN-000870,Jorge Harris,2025-12-23,47332.72,47332.72,Principal,Posted,8C26DCDC89D1,POOL-C
LN-000871,Kimberly Myers,2025-12-11,18978.81,18978.81,Interest,Reversed,0B81EFF16960,POOL-A
LN-000872,Sandra Becker,2025-09-07,13901.86,13901.86,Escrow,Posted,931FBD8C97B7,POOL-A
LN-000873,Michael Blair,2025-10-18,32377.98,32377.98,Interest,Posted,633EC15BD4D7,POOL-C
LN-000874,Amy Miller,2025-12-21,20732.34,20732.34,Interest,Pending,B0BA8093CB17,POOL-B
LN-000875,Jesse Lynch,2025-08-31,1756.62,1756.62,Fee,Posted,4D39C79741F5,POOL-C
LN-000876,Patrick Yang,2025-09-11,8229.55,8229.55,Escrow,Posted,4357C3E5A1EB,POOL-C
LN-000877,Michael Miles,2026-03-09,35940.63,35940.63,Interest,Posted,A6575CC9D59C,POOL-D
LN-000878,Troy Mills,2025-11-02,33116.74,33116.74,Interest,Posted,590E299FF5AE,POOL-A
LN-000879,Michelle Jackson,2025-07-31,1841.25,971.8,Interest,Posted,31B8E071181D,POOL-A
LN-000880,Richard Adams,2025-08-18,11487.62,11487.62,Principal,Reversed,EBA31F0A6FD5,POOL-E
LN-000881,Patricia Johnson,2025-07-21,11938.2,11938.2,Interest,Posted,C85F75FAE056,POOL-F
LN-000882,Denise Brown,2025-07-11,33758.69,33758.69,Fee,Posted,38DAC4898BF6,POOL-C
LN-000883,Laura Jones,2025-05-15,1475.67,0.0,Escrow,Posted,867C82E8EA61,POOL-C
LN-000884,Ian Porter,2025-06-21,5653.37,5653.37,Escrow,Posted,FDDD45E8D18A,POOL-B
LN-000885,Holly Scott,2025-08-23,40095.85,0.0,Interest,Posted,B49C7EAAA098,POOL-A
LN-000886,Kenneth Sharp,2025-05-15,9337.96,9337.96,Interest,Posted,375123E79E5B,POOL-B
LN-000887,Jordan Williams,2025-12-14,32810.93,32810.93,Interest,Pending,BBA7E584AFC2,POOL-D
LN-000888,Dana Ruiz,2026-03-03,12290.05,12290.05,Escrow,Posted,7287805844F4,POOL-E
LN-000889,Chris Velazquez,2025-06-17,5422.35,4108.6,Escrow,Posted,83B0CC28D90F,POOL-B
LN-000890,Kristen Sloan,2025-06-21,12537.02,12537.02,Principal,Posted,98A64AA3349C,POOL-A
LN-000891,Jennifer Morris,2025-07-03,36252.21,36252.21,Fee,Reversed,E58D1B17BED8,POOL-D
LN-000892,Nathan Nelson,2025-11-17,42856.98,42856.98,Principal,Posted,9B37BBCEB200,POOL-C
LN-000893,Jake Shaw,2025-08-03,41595.88,41595.88,Fee,Pending,C358A0739EE7,POOL-D
LN-000894,Cassie Brock,2026-01-10,20160.58,20160.58,Principal,Posted,1C764D153F52,POOL-F
LN-000895,Dr. Andrea Marshall,2025-12-08,33570.21,33570.21,Escrow,Reversed,CB27CBAB46BF,POOL-B
LN-000896,Ryan Murphy,2026-01-14,10646.72,10646.72,Principal,Posted,F7D32D93192E,POOL-A
LN-000897,Aimee Gonzalez,2025-08-06,15010.81,15010.81,Fee,Pending,373B69320A7D,POOL-B
LN-000898,Elizabeth Dean,2025-05-05,44868.62,44868.62,Interest,Posted,63F2A342D606,POOL-C
LN-000899,Kevin Snyder,2025-06-22,1143.6,1143.6,Fee,Posted,285459B3F346,POOL-C
LN-000900,Christie Mccullough,2025-08-13,4732.67,4732.67,Interest,Posted,91B087B290AA,POOL-A
